method,parameter,max_support_size,total_features,score,mae,mse,features_names,feature_weights,feature_complexities,support_size
L0,0.241249,0.0,5,-7.014001911808531e+30,1.5757162346521145,3.1123529422712917,[],[-1.8362892223738063],[],0.0
L0,0.238836,1.0,5,-0.07254977592268741,1.081553301493731,1.6106505569157021,['F_1'],"[-1.2527196652719668, -3.1569]",[1.0],1.0
L0,0.181343,2.0,5,0.8783206902599328,0.4975718105081047,0.33759401574941234,"['F_1', 'F_3']","[-0.2606906438290588, -4.1489, -2.566]","[1.0, 1.0]",2.0
L0,0.0220732,3.0,5,0.9446711522906535,0.3537042049922596,0.163175855380272,"['F_1', 'F_3', 'F_4']","[-0.260527654818862, -3.6142, -2.2526, -1.3059]","[1.0, 1.0, 1.0]",3.0
L0,0.00683992,5.0,5,0.9999999926577086,0.00010703341456112801,2.2852496913714267e-08,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[4.0562988194992045e-06, -1.0005, -3.0003, -0.9999, -1.9998, -0.9997]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,4.10319e-09,5.0,5,0.9999999999999866,1.5597231336361146e-07,4.177563974948444e-14,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-4.403539466402151e-08, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,6.38593e-15,5.0,5,0.9999999999999953,8.972545566461187e-08,1.457453872526326e-14,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-1.653483883146123e-08, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,1.85617e-15,5.0,5,0.9999999999999978,6.923670242853306e-08,6.856114117146379e-15,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-5.341190689733821e-08, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,8.25378e-16,5.0,5,0.9999999999999989,4.887088286963795e-08,3.3133783707900388e-15,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-2.6701324484790234e-08, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,3.32296e-16,5.0,5,0.9999999999999994,3.554438108335547e-08,1.8755847154798837e-15,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-3.2653681314442906e-08, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,1.76571e-16,5.0,5,0.9999999999999996,3.177588755725271e-08,1.2339303426591245e-15,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-2.3420522854422643e-08, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,7.77721e-17,5.0,5,0.9999999999999998,2.396538383734221e-08,8.388228747768942e-16,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-1.68284395307694e-08, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,2.87044e-17,5.0,5,0.9999999999999998,2.0431151913700887e-08,5.473408827635436e-16,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-1.4435323603123607e-08, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,2.29635e-17,5.0,5,0.9999999999999999,1.6003426376417343e-08,3.6882450664188803e-16,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-1.1215099959827057e-08, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,1.62686e-17,5.0,5,0.9999999999999999,1.3742680077974991e-08,2.426361849838776e-16,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-1.022671658468255e-08, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,1.08174e-17,5.0,5,1.0,1.100000740207098e-08,1.704670599807555e-16,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-7.507563459796529e-09, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,6.08539e-18,5.0,5,1.0,9.096781268761382e-09,1.112057457981401e-16,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-5.767383015609084e-09, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,4.0535100000000006e-18,5.0,5,1.0,7.2053468949260505e-09,7.496290547023028e-17,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-4.816597787282717e-09, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,3.10249e-18,5.0,5,1.0,6.166026191983362e-09,4.909055209219913e-17,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-4.546662157878245e-09, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,2.02577e-18,5.0,5,1.0,4.949288850513047e-09,3.4551096456116506e-17,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-3.337503828859667e-09, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,1.22227e-18,5.0,5,1.0,4.0921999595966595e-09,2.249245378249107e-17,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-2.584867209165509e-09, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,8.05827e-19,5.0,5,1.0,3.2412574104908e-09,1.5157559454819767e-17,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-2.160868595169063e-09, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,6.28634e-19,5.0,5,1.0,2.7733486720568427e-09,9.92630119893346e-18,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-2.0454744564801786e-09, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,4.07141e-19,5.0,5,1.0,2.2261996106641844e-09,6.986983342117555e-18,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-1.4994443464644291e-09, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
